Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 29,     Conv, 512, 7, 7, 200, 7, 7, 512, ROW_L, 0, 0, 49, 49, 1, 10, 10,,,,,,,,, L2, DMA, 49, 49, 512, 25216, 0, 0, ,,,,,,,, DDR, CPU, 128, 63, 200, 26624, 7, aa700, ,,,,,,,, MSMC, DMA, 576, 512, 40, 23936, 0, ebf00, ,,,,,,,, 
 30,   Resize, 200, 7, 7, 200, 14, 14, 200,  COL, 0, 0, 63, 63, 1, 1, 1,,,,,,,,, L2, DMA, 63, 63, 200, 12672, 0, 0, ,,,,,,,, DDR, CPU, 224, 224, 200, 45824, 14, 92880, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 31,     Conv, 200, 14, 14, 200, 14, 14, 1,  COL, 0, 0, 196, 196, 200, 1, 200,,,,,,,,, L2, DMA, 196, 196, 2, 640, 0, 0, MSMC, CPU, 224, 196, 200, 448, 0, ebf00, DDR, DMA, 224, 224, 200, 45824, 14, aec00, ,,,,,,,, NONE, NA, 26, 26, 2000, 0, 0, ffffffff, ,,,,,,,, 
 32,     Conv, 200, 14, 14, 256, 14, 14, 200, ROW_L, 0, 0, 196, 196, 1, 8, 8,,,,,,,,, L2, DMA, 320, 320, 200, 64128, 0, 0, ,,,,,,,, DDR, CPU, 448, 224, 256, 115712, 14, 92800, ,,,,,,,, MSMC, DMA, 320, 200, 64, 21504, 0, ebf00, ,,,,,,,, 
 33,   Resize, 256, 14, 14, 256, 28, 28, 256,  COL, 0, 0, 224, 224, 1, 1, 1,,,,,,,,, L2, DMA, 322, 322, 256, 82432, 0, 0, ,,,,,,,, DDR, CPU, 840, 840, 256, 216064, 28, aec80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 34,  EltWise, 512, 28, 28, 256, 28, 28, 512,  COL, 0, 0, 784, 784, 8, 1, 8,,,,,,,,, L2, DMA, 980, 980, 64, 125440, 0, 0, ,,,,,,,, MSMC, CPU, 960, 840, 256, 245888, 28, afe80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35,     Conv, 256, 28, 28, 256, 28, 28, 1,  COL, 0, 0, 784, 784, 1, 1, 1,,,,,,,,, L2, DMA, 784, 784, 256, 200832, 0, 0, ,,,,,,,, MSMC, CPU, 960, 840, 256, 245888, 28, afe80, ,,,,,,,, NONE, NA, 26, 26, 2560, 0, 0, ffffffff, ,,,,,,,, 
 36,     Conv, 256, 28, 28, 120, 28, 28, 256, ROW_L, 0, 0, 416, 784, 2, 1, 2,,,,,,,,, L2, DMA, 832, 832, 256, 213120, 0, 0, ,,,,,,,, MSMC, CPU, 960, 840, 120, 115328, 28, afe80, ,,,,,,,, NONE, NA, 256, 256, 120, 0, 0, ffffffff, ,,,,,,,, 
 37,   Resize, 120, 28, 28, 120, 56, 56, 120,  COL, 0, 0, 840, 840, 1, 1, 1,,,,,,,,, L2, DMA, 980, 980, 120, 117632, 0, 0, ,,,,,,,, DDR, CPU, 3248, 3248, 120, 390784, 56, 92880, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 38,  EltWise, 240, 56, 56, 120, 56, 56, 240,  COL, 0, 0, 3136, 3136, 8, 1, 8,,,,,,,,, L2, DMA, 3304, 3304, 30, 198272, 0, 0, MSMC, CPU, 3248, 3136, 120, 97440, 0, afe80, DDR, DMA, 3248, 3248, 120, 390784, 56, f1f00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 39,     Conv, 120, 56, 56, 120, 56, 56, 1,  COL, 0, 0, 3136, 3136, 40, 1, 40,,,,,,,,, L2, DMA, 3136, 3136, 6, 18944, 0, 0, MSMC, CPU, 3248, 3136, 120, 19488, 0, b7880, DDR, DMA, 3248, 3248, 120, 390784, 56, 0, ,,,,,,,, MSMC, DMA, 26, 26, 1200, 31232, 0, afe80, ,,,,,,,, 
 40,     Conv, 120, 56, 56, 56, 56, 56, 120, ROW_L, 0, 0, 928, 3136, 4, 1, 4,,,,,,,,, L2, DMA, 1856, 1856, 120, 224768, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3248, 56, 182912, 56, b2980, ,,,,,,,, MSMC, DMA, 192, 120, 56, 11008, 0, afe80, ,,,,,,,, 
 41,   Resize, 56, 56, 56, 56, 112, 112, 56,  COL, 0, 0, 3248, 3248, 4, 1, 4,,,,,,,,, L2, DMA, 3304, 3304, 28, 92544, 0, 0, ,,,,,,,, DDR, CPU, 12768, 12768, 56, 716032, 112, 80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 42,  EltWise, 112, 112, 112, 56, 112, 112, 112,  COL, 0, 0, 12544, 12544, 14, 1, 14,,,,,,,,, L2, DMA, 12880, 12880, 8, 206080, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12768, 56, 720512, 112, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43,     Conv, 56, 112, 112, 56, 112, 112, 1,  COL, 0, 0, 12544, 12544, 28, 1, 28,,,,,,,,, L2, DMA, 12544, 12544, 4, 50304, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12768, 56, 720512, 112, 0, ,,,,,,,, MSMC, DMA, 26, 26, 560, 14592, 0, afe80, ,,,,,,,, 
 44,     Conv, 56, 112, 112, 16, 112, 112, 56, ROW_L, 0, 0, 1888, 12544, 7, 1, 7,,,,,,,,, L2, DMA, 3776, 3776, 56, 221056, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12768, 16, 205952, 112, 0, ,,,,,,,, MSMC, DMA, 56, 56, 16, 1024, 0, afe80, ,,,,,,,, 
 45,   Resize, 16, 112, 112, 16, 224, 224, 16,  COL, 0, 0, 12768, 12768, 4, 1, 4,,,,,,,,, L2, DMA, 12880, 12880, 8, 103040, 0, 0, MSMC, CPU, 51072, 51520, 16, 408576, 0, 32480, DDR, DMA, 50624, 50624, 16, 811008, 224, 80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46,     Conv, 16, 224, 224, 1, 224, 224, 16, ROW_L, 0, 0, 5792, 50176, 9, 1, 9,,,,,,,,, L2, DMA, 11584, 11584, 16, 226048, 0, 0, MSMC, CPU, 5792, 5792, 1, 11648, 0, 0, DDR, DMA, 57920, 50624, 1, 59008, 224, c6080, ,,,,,,,, MSMC, DMA, 16, 16, 1, 128, 0, 32480, L2, DMA_ONCE, 16, 16, 1, 128, 0, 37680, 
 47,     Data, 1, 224, 224, 0, 0, 0, 1, FRAME, 0, 0, 50176, 50176, 1, 1, 1,,,,,,,,, L2, DMA, 0, 50624, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 200704, 0, 0, 603136, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
