 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us), procCycle,CoreLoopCycles,LayerLevelCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,
       0,    Data,       1,       1,       1,       1,       1,       0,       0,       1,         0,       3,       3,     224,     224,     224,     224,    0.00,    0.00,    0.00,    0.00,    0.00,  0.00,  0.00,  0.00,       DDR,       DDR,      NONE,       DDR,      NONE,      MSMC,    0.00,    0.00,    0.00,    0.00,       3,
       1,    Conv,       3,       3,       1,       2,       2,       0,       0,       1,         1,       3,      16,     224,     224,     112,     112, 4906.08,4906081.19,36843.67, 6065.10,4900016.08,37632.12,196.12,  0.50,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.20,   37.63,    0.00,       1,
       2,    Conv,       3,       3,      16,       1,       1,       0,       0,       1,         1,      16,      16,     112,     112,     112,     112,   32.01,32009.33,26009.33, 6000.00, 3896.48,196.00,199.50,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.20,    0.00,    0.00,       2,
       3,    Conv,       1,       1,       1,       1,       1,       0,       0,       1,         1,      16,      56,     112,     112,     112,     112,   80.33,80331.15,74184.67, 6146.48,13659.67,199.50,698.25,  1.12,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.70,    0.00,    0.00,       1,
       4,    Conv,       3,       3,      56,       2,       2,       0,       0,       1,         1,      56,      56,     112,     112,      56,      56,  136.47,136473.00,130473.00, 6000.00,13637.70,698.25,171.50,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.70,    0.17,    0.00,    0.00,       2,
       5,    Conv,       1,       1,       1,       1,       1,       0,       0,       1,         1,      56,      88,      56,      56,      56,      56,   70.77,70774.93,64091.34, 6683.59,35091.14,171.50,269.50,  5.25,      MSMC,        L2,      NONE,       DDR,       DDR,      MSMC,    0.18,    0.27,    0.01,    0.27,       1,
       6,    Conv,       3,       3,      88,       1,       1,       0,       0,       1,         1,      88,      88,      56,      56,      56,      56,   77.44,77435.54,48451.33, 6000.00,71435.54,269.50,279.12,  0.00,       DDR,        L2,      NONE,       DDR,       DDR,      MSMC,    0.00,    0.28,    0.27,    0.28,       2,
       7,    Conv,       1,       1,       1,       1,       1,       0,       0,       1,         1,      88,     120,      56,      56,      56,      56,  135.19,135193.02,127777.00, 7416.02,85904.94,279.12,380.62, 10.88,       DDR,        L2,      NONE,       DDR,       DDR,      MSMC,    0.01,    0.39,    0.29,    0.38,       1,
       8,    Conv,       3,       3,     120,       2,       2,       0,       0,       1,         1,     120,     120,      56,      56,      28,      28,   76.52,76516.00,70516.00, 6000.00,49560.54,380.62, 91.88,  0.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.09,    0.38,    0.00,       2,
       9,    Conv,       1,       1,       1,       1,       1,       0,       0,       1,         1,     120,     144,      28,      28,      28,      28,   62.48,62484.31,54205.67, 8278.65, 2495.12, 91.88,110.25, 17.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.11,    0.13,    0.02,    0.00,       1,
      10,    Conv,       3,       3,     144,       1,       1,       0,       0,       1,         1,     144,     144,      28,      28,      28,      28,   19.94,19939.00,13939.00, 6000.00, 2307.13,110.25,118.12,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.11,    0.12,    0.00,    0.00,       2,
      11,    Conv,       1,       1,       1,       1,       1,       0,       0,       1,         1,     144,     256,      28,      28,      28,      28,  119.98,119975.71,109158.00,10817.71, 4824.22,118.12,210.00, 37.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    0.16,    0.25,    0.04,    0.00,       1,
      12,    Conv,       3,       3,     256,       2,       2,       0,       0,       1,         1,     256,     256,      28,      28,      14,      14,   80.74,80739.00,74739.00, 6000.00, 6380.21,210.00, 49.00,  0.00,      MSMC,        L2,      NONE,       DDR,       DDR,      MSMC,    0.21,    0.05,    0.00,    0.05,       2,
      13,    Conv,       1,       1,       1,       1,       1,       0,       0,       1,         1,     256,     408,      14,      14,      14,      14,  109.14,109135.51,89642.67,19492.84,16552.73, 49.00, 78.12,103.62,       DDR,        L2,      NONE,       DDR,       DDR,      MSMC,    0.10,    0.18,    0.15,    0.08,       1,
      14,    Conv,       3,       3,     408,       1,       1,       0,       0,       1,         1,     408,     408,      14,      14,      14,      14,   26.35,26345.05,19539.00, 6000.00,20345.05, 78.12, 78.12,  0.00,       DDR,        L2,      NONE,       DDR,       DDR,      MSMC,    0.00,    0.08,    0.08,    0.08,       2,
      15,    Conv,       1,       1,       1,       1,       1,       0,       0,       1,         1,     408,     376,      14,      14,      14,      14,  158.16,158158.29,132448.00,25710.29,19547.53, 78.12, 72.00,151.38,       DDR,        L2,      NONE,       DDR,       DDR,      MSMC,    0.15,    0.22,    0.23,    0.07,       1,
